show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2032,TV Show,Jesus: His Life,,,,,2019,TV-PG,1 Season,"Documentary, Special Interest","""Jesus: His Life explores the story of Jesus Christ through the people in his life who were closest to him. Each of the 8 chapters is told from the perspective of different biblical figures, all of whom played a pivotal role – Joseph, John the Baptist, Mary Mother of Jesus, Caiaphas, Judas Iscariot, Pontius Pilate, Mary Magdalene and Peter."
s2033,TV Show,Jestination Unknown,,"Vir Das, Amit Tandon, Amogh Ranadive, Anu Menon, Ashwin Mushran, Manan Desai, Raj Sharma, Rohini Ramanathan, Shruti Seth, Suresh Menon",India,,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy, Unscripted","Vir Das travels across India with his friends to answer the question: ""What does India find funny?"" In Patiala, they explore comedy and clichés. In Lucknow, the hasya kavis give a masterclass. In Jodhpur, the city welcomes new jesters. In Mysore, a Mysore joke is written. In Kumarakom, comedy after tragedy is explored. In Leh, even the people in the harshest region of the country laugh."
s2034,Movie,Jessica,"Jean Negulesco, Oreste Palella","Maurice Chevalier, Angie Dickinson",,,1962,13+,105 min,Drama,"The women of a small Sicilian village, jealous of a beautiful widowed midwife, plot her ruin by refusing to have anything to do with their husbands."
s2035,Movie,"Jermaine Fowler: Give 'Em Hell, Kid",Jermaine Fowler,Jermaine Fowler,,,2015,18+,57 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Comedian Jermaine Fowler performs his first ever stand-up special, poking fun at his life in hilarious detail. From being raised by his young parents to growing up with a brother his family thought was mentally challenged."
s2036,TV Show,Jeremiah,,"Luke Perry, Malcolm-Jamal Warner",,,2004,TV-14,1 Season,"Drama, Science Fiction","In the opening episodes of Season 2, Jeremiah and his allies face the increasing threat of the Valhalla Sector."
s2037,Movie,"Jenny McCarthy's Dirty, Sexy, Funny",Joe DeMaio,"Jenny McCarthy, Tiffany Haddish, Tammy Pescatelli, Lynne Koplitz, Justine Marino, Paula Bel",,,2014,18+,59 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Several popular female comedians like Tammy Pescatelli, Lynne Koplitz, Paula Bel and Tiffany Haddish shed some light on what it's really like to be a woman."
s2038,Movie,Jennifer Aniston: More than Friends,Danielle Winter,"Jennifer Aniston, Sharon Feingold",,,2020,,59 min,Documentary,There are multiple levels to global superstar actress Jennifer Aniston. Yet the road to success did not come without its challenges. Aniston radiates a vulnerable warmth both on and off screen that keeps her audience loyal.
s2039,TV Show,Jelly Jam,,,,,2011,ALL,1 Season,"Animation, Kids","Join Bello and his Jelly Jamm friends as they share exciting adventures on their home planet of Jammbo, where music is born. Laugh and learn with these magical friends as they use fun and creativity to face their fears, solve everyday problems and learn to live together in happiness and harmony."
s2040,Movie,Jeffrey,Christopher Ashley,"Steven Weber, Michael T. Weiss, Patrick Stewart, Christine Baranski, Sigourney Weaver",,,1995,R,94 min,"Comedy, Drama","Disenchanted with the not-so-romantic side of safe sex, sweet, single, and obsessive Jeffrey vows to become completely celibate! No sooner has he sworn off sex than he meets hunky, sensitive Steve. But just as passion starts to ignite, Steve reveals some earth-shattering information, leaving Jeffrey to choose between losing the man of his dreams-or taking a risk on what just might be true love!"
s2041,Movie,Jeff Garcia: The Ten Dollar Ticket,Jeff Garcia,Jeff Garcia,,,2015,,58 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Latino comic Jeff Garcia aims to give you your money's worth with his signature original shows in this special from 2008. Fellow friends and comics, Bruce Jingles and Rene Garcia, join him as they discuss race, dating and fighting style differences."
